year,round,race_name,circuit_id,circuit_name,date,Other,Race Incident/Crash,Race Status,Technical Failure,Total,Total_Retirements
2011,16,Korean Grand Prix,yeongam,Korean International Circuit,2011-10-16,0,2,21,1,24,3
2011,17,Indian Grand Prix,buddh,Buddh International Circuit,2011-10-30,0,2,19,3,24,5
2011,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2011-11-13,0,1,20,3,24,4
2011,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2011-11-27,0,2,20,2,24,4
2012,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2012-03-18,0,5,14,3,22,8
2012,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2012-03-25,0,1,21,2,24,3
2012,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2012-04-15,0,0,23,1,24,1
2012,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2012-04-22,0,1,20,3,24,4
2012,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2012-05-13,0,2,19,3,24,5
2012,6,Monaco Grand Prix,monaco,Circuit de Monaco,2012-05-27,0,6,15,3,24,9
2012,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2012-06-10,0,0,20,4,24,4
2012,8,European Grand Prix,valencia,Valencia Street Circuit,2012-06-24,1,3,18,2,24,5
2012,9,British Grand Prix,silverstone,Silverstone Circuit,2012-07-08,0,2,21,1,24,3
2012,10,German Grand Prix,hockenheimring,Hockenheimring,2012-07-22,0,1,23,0,24,1
2012,11,Hungarian Grand Prix,hungaroring,Hungaroring,2012-07-29,0,0,23,1,24,1
2012,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2012-09-02,0,6,18,0,24,6
2012,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2012-09-09,0,0,19,5,24,5
2012,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2012-09-23,0,4,18,2,24,6
2012,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2012-10-07,0,3,19,2,24,5
2012,16,Korean Grand Prix,yeongam,Korean International Circuit,2012-10-14,0,3,20,1,24,4
2012,17,Indian Grand Prix,buddh,Buddh International Circuit,2012-10-28,0,2,21,1,24,3
2012,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2012-11-04,0,6,17,1,24,7
2012,19,United States Grand Prix,americas,Circuit of the Americas,2012-11-18,0,0,22,2,24,2
2012,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2012-11-25,0,6,18,0,24,6
2013,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2013-03-17,0,1,18,3,22,4
2013,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2013-03-24,1,2,16,3,22,5
2013,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2013-04-14,0,2,18,2,22,4
2013,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2013-04-21,0,1,21,0,22,1
2013,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2013-05-12,0,1,19,2,22,3
2013,6,Monaco Grand Prix,monaco,Circuit de Monaco,2013-05-26,0,4,15,3,22,7
2013,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2013-06-09,0,3,19,0,22,3
2013,8,British Grand Prix,silverstone,Silverstone Circuit,2013-06-30,0,0,18,4,22,4
2013,9,German Grand Prix,nurburgring,Nürburgring,2013-07-07,0,1,19,2,22,3
2013,10,Hungarian Grand Prix,hungaroring,Hungaroring,2013-07-28,0,0,17,5,22,5
2013,11,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,2013-08-25,0,1,19,2,22,3
2013,12,Italian Grand Prix,monza,Autodromo Nazionale di Monza,2013-09-08,0,1,20,1,22,2
2013,13,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,2013-09-22,0,2,18,2,22,4
2013,14,Korean Grand Prix,yeongam,Korean International Circuit,2013-10-06,0,3,19,0,22,3
2013,15,Japanese Grand Prix,suzuka,Suzuka Circuit,2013-10-13,0,3,19,0,22,3
2013,16,Indian Grand Prix,buddh,Buddh International Circuit,2013-10-27,0,1,18,3,22,4
2013,17,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,2013-11-03,0,1,21,0,22,1
2013,18,United States Grand Prix,americas,Circuit of the Americas,2013-11-17,0,1,21,0,22,1
2013,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,2013-11-24,0,1,19,2,22,3
2014,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2014-03-16,1,2,14,5,22,7
2014,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2014-03-30,1,0,15,6,22,6
2014,3,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2014-04-06,0,3,16,3,22,6
2014,4,Chinese Grand Prix,shanghai,Shanghai International Circuit,2014-04-20,0,0,20,2,22,2
2014,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2014-05-11,0,0,20,2,22,2
2014,6,Monaco Grand Prix,monaco,Circuit de Monaco,2014-05-25,1,3,14,4,22,7
2014,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2014-06-08,0,4,11,7,22,11
2014,8,Austrian Grand Prix,red_bull_ring,Red Bull Ring,2014-06-22,0,0,19,3,22,3
2014,9,British Grand Prix,silverstone,Silverstone Circuit,2014-07-06,0,3,17,2,22,5
2014,10,German Grand Prix,hockenheimring,Hockenheimring,2014-07-20,0,1,18,3,22,4
